country,site,year,date,gear,inside_area,species,length_cm,count
Indonesia,Karimunjawa National Park,2003,5/23/03,Gillnet,Outside,Scarus ghobban,34.023,1
Indonesia,Karimunjawa National Park,2003,5/25/03,Muroami,Inside,Caesio cuning,29.091,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,22.841,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,28.005,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,23.331,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,26.582,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,34.035,1
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,34.796,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,29.238,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,31.356,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,32.439,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.751,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Plectropomus oligacanthus,38.53,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.59,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.615,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,25.56,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,28.874,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,26.488,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.736,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,21.76,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.593,1
