Year,site,Management Type,access,transect,Reserve,Biomass
2009,Kumbang 2,Core Zone,No Take Zone,3,1,8.541472636
2009,Kumbang 2,Core Zone,No Take Zone,4,1,8.692298937
2009,Kumbang 3,Core Zone,No Take Zone,1,1,14.27348212
2009,Kumbang 3,Core Zone,No Take Zone,2,1,7.789746693
2009,Kumbang 3,Core Zone,No Take Zone,3,1,10.43070869
2009,Kumbang 3,Core Zone,No Take Zone,4,1,12.70155036
2009,Legon Janten,Core Zone,No Take Zone,1,1,10.1812113
2009,Legon Janten,Core Zone,No Take Zone,2,1,7.10341999
2009,Legon Janten,Core Zone,No Take Zone,3,1,13.99164416
2009,Legon Janten,Core Zone,No Take Zone,4,1,7.177396349
2009,Legon Moto,Core Zone,No Take Zone,1,1,8.350272892
2009,Legon Moto,Core Zone,No Take Zone,2,1,7.811864984
2009,Legon Moto,Core Zone,No Take Zone,3,1,5.673395541
2009,Legon Moto,Core Zone,No Take Zone,4,1,6.908996387
2009,Taka Malang E,Core Zone,No Take Zone,1,1,6.628227785
2009,Taka Malang E,Core Zone,No Take Zone,2,1,10.64658839
2009,Taka Malang E,Core Zone,No Take Zone,3,1,5.674282881
2009,Taka Malang E,Core Zone,No Take Zone,4,1,7.144342627
2009,Taka Malang W,Core Zone,No Take Zone,1,1,12.49780151
2009,Taka Malang W,Core Zone,No Take Zone,2,1,6.673989449
2009,Taka Malang W,Core Zone,No Take Zone,3,1,6.969827188
2009,Taka Malang W,Core Zone,No Take Zone,4,1,7.362221556
2009,Taka Menyawakan E,Core Zone,No Take Zone,1,1,8.60733296
2009,Taka Menyawakan E,Core Zone,No Take Zone,2,1,12.0503509
2009,Taka Menyawakan E,Core Zone,No Take Zone,3,1,19.70884332
2009,Taka Menyawakan E,Core Zone,No Take Zone,4,1,15.54850222
2009,Taka Menyawakan W,Core Zone,No Take Zone,1,1,11.73428184
2009,Taka Menyawakan W,Core Zone,No Take Zone,2,1,12.28152
2009,Taka Menyawakan W,Core Zone,No Take Zone,3,1,23.5933726
2009,Taka Menyawakan W,Core Zone,No Take Zone,4,1,8.687989607
2009,Tanjung Dua,Core Zone,No Take Zone,1,1,8.68452652
2009,Tanjung Dua,Core Zone,No Take Zone,2,1,9.472348111
2009,Tanjung Dua,Core Zone,No Take Zone,3,1,8.861838703
2009,Tanjung Dua,Core Zone,No Take Zone,4,1,10.27675927
2009,Tanjung Sekoci,Core Zone,No Take Zone,1,1,5.365461693
2009,Tanjung Sekoci,Core Zone,No Take Zone,2,1,6.359143097
2009,Tanjung Sekoci,Core Zone,No Take Zone,3,1,3.877601431
2009,Tanjung Sekoci,Core Zone,No Take Zone,4,1,6.634108891
2012,Kumbang 1,Core Zone,No Take Zone,1,1,31.21951667
2012,Kumbang 1,Core Zone,No Take Zone,2,1,40.83581709
2012,Kumbang 1,Core Zone,No Take Zone,3,1,25.66911782
2012,Kumbang 2,Core Zone,No Take Zone,1,1,11.46214186
2012,Kumbang 2,Core Zone,No Take Zone,2,1,15.4178649
2012,Kumbang 2,Core Zone,No Take Zone,3,1,28.60225991
2012,Kumbang 3,Core Zone,No Take Zone,1,1,13.58112781
2012,Kumbang 3,Core Zone,No Take Zone,2,1,17.88665344
2012,Kumbang 3,Core Zone,No Take Zone,3,1,19.94267222
2012,Legon Janten,Core Zone,No Take Zone,1,1,11.39840085
2012,Legon Janten,Core Zone,No Take Zone,2,1,13.06891673
2012,Legon Janten,Core Zone,No Take Zone,3,1,13.82656863
2012,Legon Moto,Core Zone,No Take Zone,1,1,9.698558373
2012,Legon Moto,Core Zone,No Take Zone,2,1,14.38412584
2012,Legon Moto,Core Zone,No Take Zone,3,1,9.503129988
2012,Taka Malang E,Core Zone,No Take Zone,1,1,8.184517398
2012,Taka Malang E,Core Zone,No Take Zone,2,1,10.84354954
2012,Taka Malang E,Core Zone,No Take Zone,3,1,10.04127142
2012,Taka Malang W,Core Zone,No Take Zone,1,1,10.16076346
2012,Taka Malang W,Core Zone,No Take Zone,2,1,20.17437183
2012,Taka Malang W,Core Zone,No Take Zone,3,1,19.55245149
2012,Taka Menyawakan E,Core Zone,No Take Zone,1,1,15.29521493
2012,Taka Menyawakan E,Core Zone,No Take Zone,2,1,14.70694894
2012,Taka Menyawakan E,Core Zone,No Take Zone,3,1,14.30499856
2012,Taka Menyawakan W,Core Zone,No Take Zone,1,1,12.44338749
2012,Taka Menyawakan W,Core Zone,No Take Zone,2,1,17.04361593
2012,Taka Menyawakan W,Core Zone,No Take Zone,3,1,16.63893798
2012,Tanjung Dua,Core Zone,No Take Zone,1,1,11.69221713
2012,Tanjung Dua,Core Zone,No Take Zone,2,1,14.64123068
2012,Tanjung Dua,Core Zone,No Take Zone,3,1,18.7666053
2012,Tanjung Sekoci,Core Zone,No Take Zone,1,1,22.42911252
2012,Tanjung Sekoci,Core Zone,No Take Zone,2,1,14.95431179
2012,Tanjung Sekoci,Core Zone,No Take Zone,3,1,19.02202526
