site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Epinephelus ongus,1.0,NA
Test_FF_Site,2009,43,8,2009_43,Speargun,Outside,Cephalopholis cyanostigma,1.0,NA
Test_FF_Site,2009,44,8,2009_44,Speargun,Inside,Caesio cuning,4.5,36
Test_FF_Site,2009,44,8,2009_44,Speargun,Inside,Scarus sp,12.0,NA
Test_FF_Site,2009,44,8,2009_44,Speargun,Inside,Epinephelus fuscoguttatus,3.0,NA
Test_FF_Site,2009,44,8,2009_44,Speargun,Inside,Bolbometopon muricatum,15.0,NA
Test_FF_Site,2009,44,8,2009_44,Speargun,Inside,Sepia sp,1.5,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Epinephelus ongus,2.0,85.6
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Anyperodon leucogrammicus,0.8,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Plectropomus oligacanthus,4.0,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Caesio caerulaurea,6.0,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Epinephelus coioides,4.0,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Parupeneus indicus,1.3,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Scarus sp,7.5,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Caesio cuning,5.0,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Caesio cuning,50.0,NA
Test_FF_Site,2009,45,8,2009_45,Speargun,Inside,Sepia sp,5.0,NA
Test_FF_Site,2009,46,8,2009_46,Speargun,Inside,Caesio cuning,24.0,38.7
Test_FF_Site,2009,46,8,2009_46,Speargun,Inside,Plectropomus oligacanthus,3.7,NA
Test_FF_Site,2009,46,8,2009_46,Speargun,Inside,Plectropomus oligacanthus,0.3,NA
Test_FF_Site,2009,46,8,2009_46,Speargun,Inside,Plectropomus oligacanthus,0.7,NA
Test_FF_Site,2009,46,8,2009_46,Speargun,Inside,Bolbometopon muricatum,10.0,NA
Test_FF_Site,2009,47,8,2009_47,Handline,Inside,Euthynnus affinis,3.0,3
Test_FF_Site,2009,48,8,2009_48,Handline,Inside,Plectropomus maculatus,0.4,0.4
Test_FF_Site,2009,49,8,2009_49,Handline,Inside,Plectropomus maculatus,1.5,4.6
Test_FF_Site,2009,49,8,2009_49,Handline,Inside,Epinephelus ongus,2.4,NA
Test_FF_Site,2009,49,8,2009_49,Handline,Inside,Plectropomus oligacanthus,0.7,NA
Test_FF_Site,2009,50,8,2009_50,Handline,Inside,Cephalopholis cyanostigma,0.6,3.8
Test_FF_Site,2009,50,8,2009_50,Handline,Inside,Scomberoides commersonnianus,1.0,NA
Test_FF_Site,2009,50,8,2009_50,Handline,Inside,Lutjanus gibbus,2.2,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Caesio cuning,15.0,43.2
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Caesio cuning,3.0,NA
