country,site,year,date,gear,inside_area,species,length_cm
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,26.006
Indonesia,Karimunjawa National Park,2003,5/16/03,Trap,Inside,Caesio cuning,29.564
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,23.075
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,20.294
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.72
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,33.523
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,20.381
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,24.934
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.163
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,32.164
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,19.328
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,21.597
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,24.377
Indonesia,Karimunjawa National Park,2003,5/18/03,Gillnet,Inside,Caesio cuning,32.975
Indonesia,Karimunjawa National Park,2003,5/19/03,Gillnet,Outside,Caesio cuning,34.09
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,30.269
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,29.368
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,25.394
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Caesio cuning,25.944
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Scarus ghobban,39.259
Indonesia,Karimunjawa National Park,2003,5/19/03,Trap,Inside,Scarus ghobban,36.032
Indonesia,Karimunjawa National Park,2003,5/20/03,Speargun,Outside,Bolbometopon muricatum,50.686
Indonesia,Karimunjawa National Park,2003,5/20/03,Gillnet,Inside,Scarus ghobban,13.378
Indonesia,Karimunjawa National Park,2003,5/21/03,Gillnet,Outside,Caesio cuning,26.498
Indonesia,Karimunjawa National Park,2003,5/21/03,Gillnet,Outside,Caesio cuning,22.022
Indonesia,Karimunjawa National Park,2003,5/21/03,Speargun,Outside,Scarus ghobban,29.141
Indonesia,Karimunjawa National Park,2003,5/21/03,Speargun,Outside,Bolbometopon muricatum,77.714
Indonesia,Karimunjawa National Park,2003,5/21/03,Trap,Outside,Caesio cuning,29.32
Indonesia,Karimunjawa National Park,2003,5/23/03,Gillnet,Outside,Scarus ghobban,34.023
Indonesia,Karimunjawa National Park,2003,5/25/03,Muroami,Inside,Caesio cuning,29.091
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,22.841
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,28.005
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,23.331
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,26.582
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,34.035
Indonesia,Karimunjawa National Park,2003,9/6/03,Muroami,Inside,Caesio cuning,34.796
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,29.238
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,31.356
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,32.439
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.751
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Plectropomus oligacanthus,38.53
